,ID_Composant,REF,DESCRIPTION,FAMILLE,S_FAMILLE,GAMME,MODELE,HSP,MARQUE,NATURE,FONCTION,TYPE_EQP,PUHT,NBU,DOS_IMG,DOS_DOC,FIC_IMG,FIC_DOC,MODULE,NBPORTS,EQP,INFOTEL _Role,INFOTEL_Famille,INFOTEL_Composante,INFOTEL_Nomenclature,ACTIF,DATE_CREATION,INFOTEL_Carte_Nomenclature,OS
74,3HE08423AA,CPM5,CPM - 7750 SR CPM5,MPLS,PE,7750,CPM5,HARDWARE,ALCATEL-LUCENT,CARTE,CPM5,PE,0,,,,,,,,,,TELECOM,WPR,TELECOM,False,,,
75,3HE08426AA,IOM3-XP-C,IOM - 7750 SR IOM3-XP-C,MPLS,PE,7750,IOM3-XP-C,HARDWARE,ALCATEL-LUCENT,CARTE,IOM3-XP-C,PE,0,,,,,,IOM3-XP-C,,,,TELECOM,WPR,TELECOM,False,,,
76,3HE08428AA,SFM5-12,SFM - 7750 SR SFM5-12,MPLS,PE,7750,SFM5-12,HARDWARE,ALCATEL-LUCENT,CARTE,SFM5-12,PE,0,,,,,,,,,,TELECOM,WPR,TELECOM,False,,,
77,3HE08429AA,SFM5-7,SFM - 7750 SR SFM5-7,MPLS,PE,7750,SFM5-7,HARDWARE,ALCATEL-LUCENT,CARTE,SFM5-7,PE,0,,,,,,,,,,TELECOM,WPR,TELECOM,False,,,
78,3HE09195AA,3HE09195AA,CHAS - 7750 SR-a4 CHASSIS,MPLS,PE,7750,7750SR-A4,HARDWARE,ALCATEL-LUCENT,CHASSIS,SRA4,PE,0,,,,,,Châssis 7750 SR-A4,,1.0,PE,,WPR,INUIT-PE,True,2018-05-18 12:11:35,,TiMOS-C-19.10.R8
79,3HE09197AA,3HE09197AA,FAN - 7750 SR-a4 Fan Tray,MPLS,PE,7705,FAN - 7750 SR-A4,HARDWARE,ALCATEL-LUCENT,MODULE,VENTILATION,PE,0,,,,,,FAN - 7750 SR-a4 Fan Tray,,,PE,Router,WPR,TELECOM,False,,,
80,3HE09199AA,3HE09199AA,48V DC Power Supply Unit,MPLS,PE,,PSU -48V,HARDWARE,ALCATEL-LUCENT,CARTE,,PE,0,,,,,,48V DC Power Supply Unit,,,,,,ALIMENTATION,False,,,
81,3HE09201AA,3HE09201AA,CPM - 7750 SR-A,MPLS,PE,,CPM - 7750 SR-A,HARDWARE,ALCATEL-LUCENT,CARTE,,PE,0,,,,,,CPM - 7750 SR-A,,,,TELECOM,WPR,TELECOM,False,,,
82,3HE09202AA,3HE09202AA,IOM - 7750 SR-A L3HQ,MPLS,PE,7750,IOM - 7750 SR-A L3HQ,HARDWARE,ALCATEL-LUCENT,CARTE,IOM - 7750 SR-A L3HQ,PE,0,,,,,,IOM - 7750 SR-A L3HQ,,,,TELECOM,WPR,TELECOM,False,,,
83,3HE09205AA,3HE09205AA,MDA-A - 7750 SR 2-PT 10GE SFP+ 12-PT GE SFP,MPLS,PE,,10GE SFP+,HARDWARE,ALCATEL-LUCENT,CARTE,10GE SFP,PE,0,,,,,,MDA-A - 7750 SR 2-PT 10GE SFP+ 12-PT GE SFP,,,,TELECOM,WPR,TELECOM,False,,,
84,3HE09240AA,3HE09240AA,MDA-A - 7750 SR 4-PT 10GE SFP,MPLS,PE,,4PT10GE SFP,HARDWARE,ALCATEL-LUCENT,CARTE,4PT10GE SFP,PE,0,,,,,,MDA-A - 7750 SR 4-PT 10GE SFP,,,,TELECOM,WPR,TELECOM,False,,,
85,3HE09242AA,3HE09242AA,"BUNDLE CHASSIS 7750 SR-A4 (3HE09195AA CHAS, 3HE09197AA FAN, 3HE09200AA PSU, 3HE09201AA CPM)",MPLS,PE,7750,7750SAR-A4,HARDWARE,ALCATEL-LUCENT,CHASSIS,SRA4,PE,0,,,,,,Châssis 7750 SR-A4,,1.0,PE,Router,WPR,INUIT-PE,False,,,TiMOS-C-19.10.R8
86,3HE09417AA,3HE09417AA,ACC 7750 SR-a CPM/MDA Impedance Panel,MPLS,PE,,CPM_MDA,HARDWARE,ALCATEL-LUCENT,CARTE,CPM_MDA,PE,0,,,,,,,,,,TELECOM,WPR,TELECOM,False,,,
87,3HE09419AA,3HE09419AA,ACC 7750 SR-a PSU Impedance Panel,MPLS,PE,,PSU_SR,HARDWARE,ALCATEL-LUCENT,CARTE,PSU_SR,PE,0,,,,,,,,,,TELECOM,WPR,TELECOM,False,,,
88,3HE10768AA,3HE10768AA,CHAS - 7750 SR-12-B CHASSIS SPARE RoHS6/6,MPLS,PE,7750,7750 SR-12-B,HARDWARE,ALCATEL-LUCENT,CHASSIS,,PE,0,,,,,,,,1.0,,,,,False,,,
89,3HE12444AA,PANNEAU X.21,PANNEAU X.21,MPLS,PE,7705,PANNEAU X.21,HARDWARE,ALCATEL-LUCENT,CARTE,PANNEAU X.21,PE,0,,,,,,PANNEAU X.21,,,PE,TELECOM,WPR,TELECOM,True,2022-03-22 12:40:39,,
90,3KC12828AB,3KC12828AB,ED 4 EQUIPMENT CONTROLLER (-40/65C),WDM,PSS,,ED-4,HARDWARE,ALCATEL-LUCENT,CARTE,ED-4,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
91,3KC12828AC,3KC12828AC,ED 4 EQUIPMENT CONTROLLER (-40 / 65C),WDM,PSS,1830,ED-4,HARDWARE,ALCATEL-LUCENT,CARTE,ED-4,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
92,3KC12829AB,3KC12829AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
93,3KC12829AD,3KC12829AD,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
94,3KC12831AB,E4PFDCAK,ED 4 POWER FILTER (-48V DC) with WT EM- HARDENED,WDM,PSS,1830,E4PFDCAK,HARDWARE,ALCATEL-LUCENT,MODULE,COMMONS,PSS,250,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
95,3KC12832AA,3KC12832AA,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
96,3KC12841AA,3KC12841AA,ED 4 FAN UNIT HARDENED,WDM,PSS,1830,ED 4 FAN,HARDWARE,ALCATEL-LUCENT,MODULE,VENTILATION,PSS,0,,,,,,ED 4 FAN UNIT HARDENED,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
97,3KC12842AA,3KC12842AA,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
98,3KC12842AB,3KC12842AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
99,3KC12866AA,3KC12866AA,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
100,3KC12866AB,3KC12866AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
101,3KC12959AC,1830PSS-4,"ED PSS 4 SHELF KIT(E4SHF, E4EC, E4FAN) HARDENED",WDM,PSS,1830,1830PSS-4,HARDWARE,ALCATEL-LUCENT,CHASSIS,COMMONS,PSS,915,2.0,1.0,2.0,3KC12959AB.png,,"ED PSS 4 SHELF KIT(E4SHF, E4EC, E4FAN) HARDENED",,1.0,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,v9.0.1
102,3KC12960AA,1830PSS-4,"ED PSS 4 SHELF KIT(E4SHF, E4EC, E4FAN) HARDENED",WDM,PSS,1830,1830PSS-4,HARDWARE,ALCATEL-LUCENT,CHASSIS,COMMONS,PSS,0,,,,,,"ED PSS 4 SHELF KIT(E4SHF, E4EC, E4FAN) HARDENED",,1.0,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,v9.0.1
103,4G-LTE-ANTM-D,ANT 4G LTE,4G LTE articulating dipole antenna 700MHz-2600MHz bands,LAN,WIFI,4G-LTE,C819,HARDWARE,CISCO,ACCESSOIRE,ANTENNE,AP,0,,,,,,,,,WAP01,Access points and bridges,LAN,INUIT-BORNE WIFI,False,,,
104,4G-LTE-ANTM-D=,4G-LTE-ANTM-D=,,,,,,,CISCO,,,,0,,,,,,,,,,,,,True,2018-04-06 17:15:29,,
105,8871AC1,8871AC1,Srv LENOVO (probablement appliance QRADAR),LAN,SRV,LENOVO,SRV_LENOVO,HARDWARE,LENOVO,CHASSIS,SERVEUR,SRV,0,,,,,,,,1.0,,,,,False,,,
106,8DG59232AA,8DG59232AA,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
107,8DG59233AA,8DG59233AA,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
108,8DG59235AC,8DG59235AC,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
109,8DG59240AA,8DG59240AA,USER INTERFACE PANEL,WDM,PSS,,,HARDWARE,ALCATEL-LUCENT,MODULE,,PSS,0,,,,,,,,,,,,,False,,,
110,8DG59241AD,EC,Equipment Controller (16GB),WDM,PSS,1830,EC-02,HARDWARE,ALCATEL-LUCENT,CARTE,COMMONS,PSS,701,1.0,1.0,,8DG59241AD.png,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
111,8DG59242BA,8DG59242BA,,,,,,,,,,,0,,,,,,,,,,,,,False,,,
112,8DG59242BB,PFDC50,DC Power Filter (50A) w/ V Monitoring,WDM,PSS,1830,PFDC50,HARDWARE,ALCATEL-LUCENT,MODULE,COMMONS,PSS,371,,,,,,,,,,,,,False,,,
113,8DG59243AB,8DG59243AB,HIGH POWER PSS-32 FAN TRAY,WDM,PSS,1830,HIGH POWER PSS-32 FAN TRAY,HARDWARE,ALCATEL-LUCENT,MODULE,,PSS,0,,,,,,,,,,,,,False,,,
