,ID_EQP,ID_Composant,CODNAT,MODELE,LG,RESERVE,INFOTEL,ORDRE,DOMAINE,TYPE,HOSTNAME,AXE_WDM,DATE_CREATION,USER,Localisation_CUR,Equipement_CUR,OS,Type2
5319,SSAM5-RED1,INF-AES-2000-48V,SSAM5,ELTEK-RED48V,22.0,,E-ELTEK-RED48V-067828,67828.0,AES,RED1,E-SSAM5-AES-RED1-067828,,2022-07-20 15:39:40,,,302E80FA070A4E2882DFF819922FC746,Eltek ferme dՎnergie (220->48) Eltek Flatpack S 1U Systems 48V (Ref.constructeur : CTOS0301.xxx / OS = 2.5.2sw),RED1
5320,P.ARA-PE1,3HE06791AA,P.ARA,7705SAR-8,1.0,,E-7705SAR-8-008607,8607.0,WPR,PE1,E-P.ARA-WPR-PE1-008607,,2019-11-15 15:56:15,,,B803B2E86A124D4B89467CEDE777A7F2,TiMOS-B-8.0.R7,PE1
5321,I.ABE-AP1,AIR-AP1832I-E-K9,I.ABE,AP 1832I,32.0,,E-AP 1832I-004943,4943.0,LAN,AP1,E-I.ABE-LAN-WAP01-004943,,2019-09-19 15:01:36,,,868614A06A4B42BEA362642CC1E1D702,,AP1
5322,THOUA-FED1,CGS-2520-16S-8PC,THOUA,CGS2520-16S,20.0,,E-CGS2520-16S-008858,8858.0,LAN,FED1,E-THOUA-LAN-FED1-008858,,2020-02-24 16:19:53,,,D61CC594ACC14B52B91C22BE6CBDCF3D,Version 15.2(3)E1,FED1
5323,THOUA-AP1,AIR-AP1832I-E-K9,THOUA,AP 1832I,33.0,,E-AP 1832I-005210,5210.0,LAN,AP1,E-THOUA-LAN-WAP01-005210,,2020-02-24 16:19:53,,,7E2CE77A00A749E8BA687A17354BC03F,,AP1
5324,SSJUL-OND1,INF-OND-1200,SSJUL,AXILEK-OND230V,54.0,,E-AXILEK-OND230V-003837,3837.0,AES,OND1,E-SSJUL-AES-OND1-003837,,2020-10-07 14:45:08,,,,,OND1
5325,ATHEL-FED1,CGS-2520-16S-8PC,ATHEL,CGS2520-16S,21.0,,E-CGS2520-16S-008987,8987.0,LAN,FED1,E-ATHEL-LAN-FED1-008987,,2019-11-15 15:49:08,,,6234ABEB2591413AB1ABD1D8766B6CFF,Version 15.2(3)E1,FED1
5326,ATHEL-AP1,AIR-AP1832I-E-K9,ATHEL,AP 1832I,34.0,,E-AP 1832I-005396,5396.0,LAN,AP1,E-ATHEL-LAN-WAP01-005396,,2019-11-15 15:49:08,,,98FB5E6C42664176BA36666F344AA42D,,AP1
5327,DRULI-OND2,INF-OND-1200,DRULI,AXILEK-OND230V,35.0,,E-AXILEK-OND230V-004181,4181.0,AES,OND2,E-DRULI-AES-OND2-004181,,2021-02-17 10:58:45,,,,,OND2
5328,F.IRA-FED1,CGS-2520-16S-8PC,F.IRA,CGS2520-16S,1.0,,E-CGS2520-16S-005307,5307.0,LAN,FED1,E-F.IRA-LAN-FED1-005307,,2021-08-19 09:27:10,,,B0B140D4BD1F4BBBA839B296586E0610,Version 15.2(3)E1,FED1
5329,F.IRA-CPE1,LBB320,F.IRA,RTR OPERE,13.0,,E-RTR OPERE-006171,6171.0,WOP,CPE1,E-F.IRA-WOP-CPE1-006171,,2021-08-19 09:27:10,,,40BA3A7DE444423B991DBCE56C00ED83,,CPE1
5330,F.IRA-CPE2,LBB320,F.IRA,RTR OPERE,14.0,,E-RTR OPERE-006172,6172.0,WOP,CPE2,E-F.IRA-WOP-CPE2-006172,,2021-08-19 09:27:10,,,B53ECA6A73BB4ACAA30368CD9D3E09F8,,CPE2
5331,MAZIE-PE1,3HE06791AA,MAZIE,7705SAR-8,1.0,,E-7705SAR-8-008583,8583.0,WPR,PE1,E-MAZIE-WPR-PE1-008583,,2020-05-20 17:08:24,,,563E9DBA13904624B85164D3F51022B8,TiMOS-B-8.0.R7,PE1
5332,MAZIE-FED1,CGS-2520-16S-8PC,MAZIE,CGS2520-16S,21.0,,E-CGS2520-16S-008855,8855.0,LAN,FED1,E-MAZIE-LAN-FED1-008855,,2020-05-20 17:08:24,,,396437EEE2CB49869D88FD9336632E51,Version 15.2(3)E1,FED1
5333,MAZIE-AP1,AIR-AP1832I-E-K9,MAZIE,AP 1832I,35.0,,E-AP 1832I-005208,5208.0,LAN,AP1,E-MAZIE-LAN-WAP01-005208,,2020-05-20 17:08:24,,,1C3810F9169C4F6882CB96E4327CEB1D,,AP1
5334,JANAI-RED2,INF-AES-1200,JANAI,ELTEK-RED48V,39.0,,E-ELTEK-RED48V-067812,67812.0,AES,RED2,E-JANAI-AES-RED2-067812,,2022-07-19 21:26:56,,,02F5F5E91AA046FEBF9A4D1C8F92BEFC,Eltek ferme dՎnergie (220->48) Eltek Minipack PS Systems 48V (Ref.constructeur : CTOM0602.000 / OS = 2.5.3),RED2
5335,P.ARA-FED1,CGS-2520-16S-8PC,P.ARA,CGS2520-16S,20.0,,E-CGS2520-16S-008976,8976.0,LAN,FED1,E-P.ARA-LAN-FED1-008976,,2019-11-15 15:56:15,,,DC876531D1B2429197F2C72BDCC3395F,Version 15.2(3)E1,FED1
5336,P.ARA-AP1,AIR-AP1832I-E-K9,P.ARA,AP 1832I,33.0,,E-AP 1832I-005276,5276.0,LAN,AP1,E-P.ARA-LAN-WAP01-005276,,2019-11-15 15:56:15,,,82B37E12B7874CB3AE83737433196588,,AP1
5337,ORCH5-PE1,3HE06791AA,ORCH5,7705SAR-8,1.0,,E-7705SAR-8-008590,8590.0,WPR,PE1,E-ORCH5-WPR-PE1-008590,,2020-05-20 18:29:54,,,0014E1DDF5D84CA7B492B5C76B8BEFC9,TiMOS-B-8.0.R7,PE1
5338,ORCH5-FED1,CGS-2520-16S-8PC,ORCH5,CGS2520-16S,21.0,,E-CGS2520-16S-008883,8883.0,LAN,FED1,E-ORCH5-LAN-FED1-008883,,2020-05-20 18:29:54,,,EDB32D1DDFC24301BC260EB10C7F5F6E,Version 15.2(3)E1,FED1
5339,NOYA5-PE1,3HE06791AA,NOYA5,7705SAR-8,1.0,,E-7705SAR-8-008589,8589.0,WPR,PE1,E-NOYA5-WPR-PE1-008589,,2020-05-20 18:58:08,,,0EB457A567A34ED1BC0F265930DAB14A,TiMOS-B-8.0.R7,PE1
5340,NOYA5-FED1,CGS-2520-16S-8PC,NOYA5,CGS2520-16S,21.0,,E-CGS2520-16S-008882,8882.0,LAN,FED1,E-NOYA5-LAN-FED1-008882,,2020-05-20 18:58:08,,,49D3DF8F375444EA9988D5083CC319F0,Version 15.2(3)E1,FED1
5341,NOYA5-AP1,AIR-AP1832I-E-K9,NOYA5,AP 1832I,35.0,,E-AP 1832I-005223,5223.0,LAN,AP1,E-NOYA5-LAN-WAP01-005223,,2020-05-20 18:58:08,,,F1ACE106C39D4FE59474613CFA21F5D9,,AP1
5342,F.IRA-AP1,AIR-AP1832I-E-K9,F.IRA,AP 1832I,15.0,,E-AP 1832I-001080,1080.0,LAN,AP1,E-F.IRA-LAN-WAP01-001080,,2021-08-19 09:27:10,,,,,AP1
5343,F.IRA-OND1,INF-OND-1200,F.IRA,AXILEK-OND230V,19.0,,E-AXILEK-OND230V-000034,34.0,AES,OND1,E-F.IRA-AES-OND1-000034,,2021-08-19 09:27:10,,,4F843DFE9D6A422CAF892AFC624314D9,,OND1
5344,F.IRA-OND2,INF-OND-1200,F.IRA,AXILEK-OND230V,20.0,,E-AXILEK-OND230V-000035,35.0,AES,OND2,E-F.IRA-AES-OND2-000035,,2021-08-19 09:27:10,,,34418E615F98423085F1C8A36F230611,,OND2
5345,MORIH-FED1,CGS-2520-16S-8PC,MORIH,CGS2520-16S,39.0,,E-CGS2520-16S-008881,8881.0,LAN,FED1,E-MORIH-LAN-FED1-008881,,2020-06-08 09:35:41,,,5D6F8A52ADD44F4B955CA4B79BCFEE46,Version 15.2(3)E1,FED1
5346,AUNEA-FED1,CGS-2520-16S-8PC,AUNEA,CGS2520-16S,1.0,,E-CGS2520-16S-008618,8618.0,LAN,FED1,E-AUNEA-LAN-FED1-008618,,2022-07-19 13:29:31,,,F7653E513A8540E286AF7BAE7F7C9311,Version 15.2(3)E1,FED1
5347,AUNEA-CPE1,LBB210,AUNEA,RTR OPERE,12.0,,E-RTR OPERE-008404,8404.0,WOP,CPE1,E-AUNEA-WOP-CPE1-008404,,2022-07-19 13:29:31,,,117CFCB7D1FA42E6836E924AA96A049D,,CPE1
5348,R.ORA-CPE1,LBB210,R.ORA,RTR OPERE,12.0,,E-RTR OPERE-008587,8587.0,WOP,CPE1,E-R.ORA-WOP-CPE1-008587,,2022-07-20 14:37:08,,,88C57E3EC16A4F50B8AAD31F3712101D,,CPE1
5349,SSGE5-FED1,CGS-2520-16S-8PC,SSGE5,CGS2520-16S,1.0,,E-CGS2520-16S-008983,8983.0,LAN,FED1,E-SSGE5-LAN-FED1-008983,,2022-07-20 15:51:33,,,A02044D94270427E8E73ED5908EAB13A,Version 15.2(3)E1,FED1
5350,SSGE5-CPE1,LBB210,SSGE5,RTR OPERE,12.0,,E-RTR OPERE-008613,8613.0,WOP,CPE1,E-SSGE5-WOP-CPE1-008613,,2022-07-20 15:51:33,,,83A9582CC504485CAACE8F6CBC8F691B,,CPE1
